CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.07.01;Despesas antecipadas e outros ativos;62936.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.07.01;Despesas antecipadas e outros ativos;251384.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.08;Outros Ativos Circulantes;552060.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.08;Outros Ativos Circulantes;435665.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.08.03;Outros;552060.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.08.03;Outros;435665.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.08.03.01;Adiantamentos a fornecedores;132042.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.08.03.01;Adiantamentos a fornecedores;138657.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.08.03.02;Instrumentos financeiros derivativos;420018.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.08.03.02;Instrumentos financeiros derivativos;297008.0000000000;N
