CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.04.02;Debêntures;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.04.02;Debêntures;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.04.03;Financiamento por Arrendamento;11395.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.04.03;Financiamento por Arrendamento;13060.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.05;Outras Obrigações;36765.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.05;Outras Obrigações;46684.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.05.01;Passivos com Partes Relacionadas;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.05.01;Passivos com Partes Relacionadas;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.05.01.01;Débitos com Coligadas;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.05.01.01;Débitos com Coligadas;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.05.01.03;Débitos com Controladores;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.05.01.03;Débitos com Controladores;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.05.02;Outros;36765.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.05.02;Outros;46684.0000000000;S
